44.6,0.99
43.3,0.88
56.7,2.24
46.8,1.37
55.9,2.48
56.6,2.74
58.8,2.54
57.7,2.37
55.9,2.4
49.7,1.72
46,1.43
52.6,1.89
52.5,1.99
52.2,2.06
52.6,2.1
51.1,1.84
79.8,5.45
70.6,4.58
74.3,4.4
76,4.83
73.3,4.19
66.9,3.85
63.7,3.06
69.1,4.52
70.8,4.46
68.8,3.76
70.1,3.91
67.7,3.91
71.4,4.06
71.3,3.99
65.9,3.45
59.9,2.55
56.9,2.11
64.4,3.4
64.9,3.12
63.3,2.93
64.3,3.41
63,2.81
71.8,4.13
67.6,3.67
52.3,1.9
55.2,1.74
54.2,1.85
55,1.76
52.6,1.75
49.8,1.5
47,1.35
51.2,1.6
50.7,1.53
47.1,1.58
50.2,1.68
52.4,1.71
49.6,1.42
51.9,1.58
48.2,1.53
47.8,1.41
49.8,1.76
50.2,1.46
47.3,1.25
53.1,1.73
53.1,1.81
51.3,1.6
50.5,1.68
48.3,1.45
76.9,4.94
73.1,5.13
71.8,4.85
71.4,4.69
64.2,3.4
67.7,4.11
63.2,3.25
67.2,4
68.6,4.35
63.4,3.52
60.9,2.94
66.3,3.64
68.2,4.15
59.7,2.78
65.9,3.6
69.5,4.25
62.4,3.06
68.1,3.91
50.7,2.15
50.9,2.16
51.4,1.99
83.9,6.98
80.1,5.69
73,4.52
77.4,5.5
75.3,5.14
73.3,4.83
77.5,5.6
76.7,6.02
68.2,4.27
77.4,6.61
65,2.67
61.8,2.68
66.9,3.39
68.5,3.41
70.7,4.64
71.5,4.51
67.4,4.06
69.1,3.71
68.6,3.74
59.6,2.35
60.8,2.75
55.8,2.22
62.4,3.3
63.5,3.1
63.5,3.08
55,1.92
59.5,3.11
56.6,2.42
51.4,1.8
54.9,2.1
53,1.62
51.5,1.77
50.2,1.93
50.8,1.96
54.7,2.09
52.2,1.85
54.6,1.93
47.4,1.43
47,1.57
50.5,1.67
49,1.45
47.9,1.54
49.3,1.6
48.3,1.2
50.4,1.46
74.7,6.65
52,2.01
50.1,1.92
49.8,1.76
51,1.97
48.2,1.6
47.2,1.61
51.9,2.01
52,2.09
50.8,1.96
48.6,1.75
51,1.99
57,2.43
55.5,2.15
56,2.24
51.5,1.97
49.9,1.9
54.7,1.89
52.6,1.98
51.5,2.04
54.1,2.04
55.6,2.24
50.8,1.96
46.9,1.44
53.4,2.13
46.2,1.38
59,2.55
63.1,2.93
51.6,1.8
51.1,1.94
49.2,1.59
46.1,1.44
71.3,3.94
72.4,4.63
78.2,5.75
66.2,4.03
67.6,3.78
69.5,4.19
72.5,4.56
62.8,3.36
55.2,2.44
63.4,3.31
60.3,3.07
55.7,2.25
56.9,2.67
59,2.85
61,3.13
54,2.32
57.3,2.63
56.7,2.53
53.2,1.89
53.9,2.02
47.5,1.59
52.3,1.92
46.2,1.52
53,2.21
52.2,2.08
48.8,1.66
46.7,1.45
47.2,1.48
49.3,1.46
49.1,1.25
49.2,1.37
50.4,1.52
44.8,1.17
43.7,1.07
62.1,3.16
66.4,3.81
63.3,2.71
52.8,1.73
52.2,1.85
46,1.29
57.5,2.89
60.1,3.17
58.9,2.61
61,3.4
57.5,2.46
52.4,2.26
57.8,2.48
51.5,1.91
45.5,1.42
46.7,1.37
54.6,2.2
52.3,2.01
69.3,3.93
73.3,4.71
73.5,4.67
71.3,4.68
67,3.62
70,4
70.3,3.52
64,3.47
64.1,3.2
65,3.3
65.4,3.48
62,3.02
61.2,2.81
65.5,3.94
65.6,3.24
59,2.39
58.7,2.44
62.2,3.08
59,2.51
55.3,1.98
56.2,2.2
54.3,2.11
53.8,2.19
52.8,1.89
59.2,2.71
54,2
52.5,1.88
58.5,2.29
51.6,1.8
51.1,1.73
54.8,2.42
68.7,3.8
60.1,2.67
55.5,2.41
53.9,2.06
47.1,1.35
52.5,2.01
57.8,2.25
57.6,2.68
54.1,2.15
55.3,2.45
56.4,2.41
51.7,2
57.6,2.67
62,3.11
59.8,2.56
55.2,2.26
47.5,1.58
48.8,1.57
50.5,1.88
52.9,2.11
48.9,1.64
64.6,2.98
54.7,1.89
53.3,1.9
58.3,2.44
48.5,1.51
49.7,1.49
46.9,1.31
49.2,1.69
51.3,1.62
49.7,1.51
48.5,1.52
49.8,1.82
46.2,1.37
46,1.35
39.3,0.88
38.8,0.8
37.1,0.7
43.2,1.1
42.4,1.01
64.1,3.51
58.6,2.72
54.3,2.24
59,2.64
56,2.47
48.1,1.37
52.8,2.27
51.7,1.87
54.1,2.21
49,1.59
46.7,1.46
46.4,1.35
44.7,1.2
45.8,1.19
66.9,3.38
66.9,3.38
63.8,3.35
61.5,3.16
60.4,3.05
60.9,3.05
63.8,3.35
61.5,3.16
60.4,3.05
60.9,3.05
56.4,2.42
55.8,2.41
59.6,2.7
57.1,2.59
56.4,2.42
55.8,2.41
59.6,2.7
57.1,2.59
49,1.65
51.5,1.93
52.1,1.95
47.2,1.55
50.6,2.06
47.8,1.55
51.7,2.03
49,1.65
51.5,1.93
52.1,1.95
47.2,1.55
50.6,2.06
47.8,1.55
51.7,2.03
60.6,2.4
58.1,1.82
54,1.75
55.5,1.9
52.4,1.77
51,1.59
48.2,1.39
46.1,1.18
47.8,1.31
46.7,1.25
48,1.38
47.4,1.27
47.2,1.34
47.1,1.34
45,1.19
42.6,1.01
42.9,1.12
44.1,1.11
45.2,1.12
57.6,2
56.8,2.2
59.1,2.43
47.6,1.49
47.4,1.46
53.6,1.82
53.3,1.91
55.8,1.95
47.2,1.35
45.4,1.27
47,1.35
47.1,1.35
45.9,1.31
46.1,1.32
42.3,1.09
43.8,1.15
50.5,1.72
53.7,1.77
48.6,1.47
49.7,1.65
51.6,1.82
44.7,1.18
48.7,1.45
47.9,1.46
46.4,1.27
47.9,1.58
51.4,1.7
